,NOIND,transport_personnel,tv_score,tv_duree,jvideo_score,jvideo_duree,ordi_score,ordi_duree,escalier_score,emploi_4sem,travail_freq_semaine,travail_duree,transport_score,activite_domloissport_duree,activite_domloissport_score,activite_moderee_score,activite_intense_score,activite_total_duree,activite_total_score,nap,profil_activite,sedentarite,sedentarite_duree,conso_gpe1,conso_gpe2,conso_gpe3,conso_gpe4,conso_gpe5,conso_gpe6,conso_gpe7,conso_gpe8,conso_gpe9,conso_gpe10,conso_gpe11,conso_gpe12,conso_gpe13,conso_gpe14,conso_gpe15,conso_gpe16,conso_gpe17,conso_gpe18,conso_gpe19,conso_gpe20,conso_gpe21,conso_gpe22,conso_gpe23,conso_gpe24,conso_gpe25,conso_gpe26,conso_gpe27,conso_gpe28,conso_gpe29,conso_gpe30,conso_gpe31,conso_gpe32,conso_gpe33,conso_gpe34,conso_gpe35,conso_gpe36,conso_gpe37,conso_gpe38,conso_gpe39,conso_gpe40,conso_gpe41,conso_gpe42,strate,region_adm_12cl,region_inca3,agglo_5cl,vacances_interv,sex_PR,tage_PR,etude_4cl_PR,stat_log_2cl,soins,situ_fin_3cl,revenu,RUC_4cl,nbpers,taille,regime_vegetarien,regime_non,veget_viande,veget_prodmer,veget_prodlait,veget_autre_alim,fume,nom_region
2046,117300701,1.0,2.2857101,2.2857101,0.0,0.0,0.53570998,0.35714,0.45831499,1.0,5.5,5.5,0.30357516,1.4226236,4.894056299999999,3.7142861000000003,0.0088435384,9.7797575,16.727367,2.0,3.0,2.0,8.2142801,15.05,0.0,57.200001,55.5,0.0,0.0,0.0,150.0,0.0,62.5,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,42.5,0.0,0.0,104.06,0.0,0.0,23.200001,0.0,0.0,995.625,0.0,153.39999,10.0,788.75,0.0,0.0,0.0,0.0,35.0,172.5,14.945001999999999,247.2,6,9,6,2,1,2,1,3,2,2,1,6,2.0,1,160.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0, Auvergne-Rhone-Alpes
2047,117301001,4.0,2.0,2.0,0.0,0.0,4.5,3.0,0.45831499,1.0,5.5,5.5,0.71425712,3.9166682,18.994946,6.202083099999999,0.014766864,14.619041000000001,39.317516,3.0,3.0,1.0,5.0,110.71428,23.142859,0.0,0.0,0.0,0.0,0.0,929.99054,10.714286,0.0,0.0,0.0,24.285713,0.0,0.0,0.0,172.85713,154.28571000000002,0.0,0.0,167.14285,0.0,0.0,0.0,0.0,10.714286,32.842857,13.571428,117.85713999999999,949.3303800000001,85.714287,311.28571,0.0,838.125,0.0,0.0,0.0,0.0,0.0,0.0,14.999998999999999,0.0,6,9,6,2,1,1,1,3,2,1,1,7,2.0,2,183.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0, Auvergne-Rhone-Alpes
2048,117301201,1.0,2.5,2.5,0.0,0.0,1.5,1.0,1.9642700000000002,0.0,0.0,0.0,0.0,5.3214283,22.135123999999998,17.902388000000002,0.042624731,9.178567900000001,28.099394,2.0,3.0,1.0,3.5,290.52438,0.0,0.0,0.0,0.0,0.0,201.58572,75.714287,91.35714,0.0,0.0,39.285713,0.0,0.0,10.714286,83.489998,55.714287,0.0,0.0,0.0,163.07143,0.0,0.0,371.29321,0.0,0.0,2.8571432,49.730339,0.0,1135.4613,0.0,38.999996,290.44641,399.82144,667.32141,0.0,0.0,0.0,291.07141,144.85716000000002,3.0821428,0.0,6,9,6,1,1,1,2,3,1,2,1,14,,2,171.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0, Auvergne-Rhone-Alpes
2049,117301601,1.0,1.5,1.5,0.0,0.0,1.5,1.0,0.67660999,1.0,5.4642859,5.4642859,1.6071428,2.5223253,8.033787700000001,3.1885423999999998,0.0075917677,11.68106,21.513969,2.0,3.0,2.0,9.0357141,197.64643999999998,0.0,11.428573,0.0,0.0,121.35543999999999,0.0,147.99107,62.82143000000001,11.428571,0.0,0.0,5.4428567999999995,42.857143,0.0,36.42857,63.02856800000001,0.0,0.0,0.0,299.44571,26.785713,0.0,257.91143999999997,0.0,8.5714293,4.471428400000001,79.902924,0.0,850.625,0.0,0.0,298.57144,1136.6666,0.0,0.0,0.0,0.0,0.0,105.71428999999999,45.107143,0.0,6,9,6,1,2,2,1,3,1,1,2,11,2.0,4,166.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0, Auvergne-Rhone-Alpes
2050,117301701,1.0,5.2857099000000005,5.2857099000000005,0.0,0.0,7.071435000000001,4.7142900999999995,0.67660999,1.0,2.2857144,1.1428572,0.43995601,1.4166621000000001,3.0993958,0.43995601,0.0010475143,12.81586,19.201679000000002,1.0,1.0,2.0,10.803572,57.14285699999999,16.000002,0.0,63.428577000000004,0.0,36.42857,0.0,0.0,54.85714300000001,0.0,0.0,13.182571,0.40000001,119.99999,0.0,0.0,85.357147,27.5,0.0,0.0,300.44287,0.0,0.0,0.0,0.0,10.142858,5.7142862999999995,9.928571699999999,0.0,0.0,0.0,0.0,35.714283,1535.95,108.21428999999999,0.0,0.0,0.0,0.0,0.0,7.785714100000001,0.0,6,9,6,1,1,1,1,5,1,1,2,14,,4,154.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0, Auvergne-Rhone-Alpes
2051,117302001,1.0,1.0714299999999999,1.0714299999999999,0.0,0.0,0.0,0.0,1.4186698999999998,0.0,0.0,0.0,0.0,1.5178572,4.6160717,2.4017856,0.0057185371,2.8472271,7.1061716,2.0,4.0,0.0,1.0714299999999999,33.214287,0.0,0.0,39.642857,0.0,0.0,195.0,250.00002,0.0,0.0,7.896428599999999,0.0,5.0384898,0.0,35.714283,15.601146,0.0,76.39286,0.0,0.0,77.976784,0.0,0.0,184.46553,0.0,0.0,0.0,39.802879,670.98218,0.0,11.035713000000001,0.0,0.0,534.16669,337.62857,0.0,0.0,0.0,54.000004000000004,0.0,0.35714284,0.0,6,9,6,1,2,2,3,1,1,2,2,7,3.0,1,156.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0, Auvergne-Rhone-Alpes
2052,117401101,3.0,1.78571,1.78571,0.0,0.0,0.75,0.5,1.986105,1.0,5.0,5.0,0.57143998,3.4702334,18.938087,2.8982143,0.0069005103,11.498013,31.531342,3.0,3.0,2.0,7.6666698,40.664997,0.0,0.0,63.92856999999999,0.0,54.90000500000001,320.89401000000004,0.0,44.357143,11.142858,0.0,19.564142,1.9490105,27.428573999999998,0.0,0.0,0.0,0.0,0.0,0.0,141.52534,0.0,50.57143,0.0,0.0,17.142857,22.114285,27.957426,71.42858100000001,218.92857,37.571426,92.114281,90.178566,880.5368699999999,0.0,0.0,0.0,0.0,66.071426,0.0,16.648573000000003,0.0,6,9,6,3,2,1,1,3,2,2,2,11,2.0,4,160.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0, Auvergne-Rhone-Alpes
2053,117401201,1.0,4.0,4.0,0.0,0.0,0.0,0.0,1.986105,0.0,0.0,0.0,0.0,5.6994066,25.978275,24.357143,0.0579932,10.060516,31.96438,2.0,3.0,1.0,4.0,237.425,0.0,0.0,80.0,0.0,12.857142,13.321426999999998,42.857143,144.0,0.0,0.0,45.094035999999996,4.541079,32.142857,0.0,24.285715,42.857143,38.57143,0.0,37.857143,163.89291,0.0,36.607143,134.86,27.257143,0.0,4.8214283,112.71435,0.0,649.19641,0.0,0.0,670.08685,966.9047199999999,586.76184,0.0,0.0,96.785713,0.0,43.571426,1.3571428,0.0,6,9,6,3,1,1,3,1,1,2,1,9,3.0,2,172.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0, Auvergne-Rhone-Alpes
2054,117401301,1.0,,,,,,,,1.0,,,0.0,9.0000029,0.0,,,,,,,,,1.3499999,10.714286,0.0,167.14285,0.0,15.714286999999999,0.0,110.61905,1.8571428,0.0,0.0,0.0,19.223999,0.0,0.0,12.000001,3.5714282999999996,8.9285707,100.77715,0.0,134.56749,67.5,71.428566,84.148216,0.0,0.0,0.0,0.0,142.85716000000002,839.28571,0.0,263.71429,614.28571,237.85712999999998,0.0,0.0,5.0,0.0,0.0,0.0,2.678571,108.21428999999999,6,9,6,3,1,1,2,3,2,2,1,13,4.0,2,176.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0, Auvergne-Rhone-Alpes
2055,117402001,1.0,2.6428599,2.6428599,0.0,0.0,0.75,0.5,1.00397,1.0,5.4285712,5.4285712,2.1428571,1.7708542,9.6057882,2.4482142999999996,0.0058290819,11.953397,24.288332,3.0,3.0,2.0,10.000002,46.928574,0.0,0.0,39.285713,0.0,236.41907,0.0,0.0,129.14287,0.0,0.0,0.0,0.0,0.0,70.0,21.988573000000002,0.0,51.42857,12.857142,0.0,83.91304000000001,0.0,38.214283,8.391428900000001,0.0,28.571432,61.499995999999996,0.0,0.0,892.8571800000001,380.98215,0.0,482.60715,320.35715,0.0,0.0,107.14285,0.0,52.000004,25.285715,28.834713,0.0,6,9,6,3,1,1,1,3,1,2,2,13,4.0,3,174.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0, Auvergne-Rhone-Alpes
